"",,,Disclosure of Transfers of Value to Healthcare organisations in Switzerland for the Year 2016,,,
"",,,Event Congress Congress Travel Fees Service/ Fees Related,,Transfer of,
Name,City,Address,Donation/ Grants Sponsorship Registration Fees & Accomodation Consultancy Expenses,,Values R&D,Total
IBDnet.ch,Zürich,,- 7 '000 - - - -,,-,7 '000
Insel Gruppe AG,Bern,Freiburgstrasse,1 5'000 1 8'315 - - 2 '000 -,,-,3 5'315
Universitätsspital Basel,Basel,Spitalstrasse 21,- 4 '001 - - 2 '000 -,,-,6 '001
Schweiz. Gesellschaft für Reproduktionsmedizin,Worb,Postfach 754,5 0'100 - - - - -,,-,5 0'100
gynécologie suisse SGGG,Bern 8,Altenbergstrasse 29,- 2 '580 - - - -,,-,2 '580
GRSSGO,Cheseaux-sur-Lausanne,Rue des Pâquis 1,- 4 '000 - - - -,,-,4 '000
Schw. Gesellschaft für Urologie SGU,Montreux,"15, avenue des Planches",- 7 '920 - - - -,,-,7 '920
SGG,Bern,Wattenwylweg 21,- 4 '850 - - - -,,-,4 '850
Kantonsspital St. Gallen,St. Gallen,Rorschacherstrasse 95,- 3 '000 - - 1 '200 -,,-,4 '200
Stiftung Forschung Gastroent. & Hepatologie,Zürich,c/o Universitätsspital,- 5 '000 - - - -,,-,5 '000
Hôpitaux Universitaires de Genève,Chêne-Bourg,Ch. du Petit-Bel-Air 2,- 1 7'800 - - - -,,-,1 7'800
Repronatal Stiftung,Basel,Riedbergstrasse 12,5 0'000 - - - - -,,-,5 0'000
Spital Linth,Uznach,Gasterstrasse 25,- 2 '500 - - - -,,-,2 '500
CHUV,Lausanne,Rue du Bugnon 21,- 9 '000 - - 1 '900 -,,-,1 0'900
Schweizerischer Hebammenverband,Bern 23,Rosenweg 25 C,- 1 '480 - - - -,,-,1 '480
Groupement des Gynécologues Vaudois,Lausanne 20,Rue de la Vigie 5,- 2 '000 - - - -,,-,2 '000
Universität Zürich,Zürich,Frauenklinikstrasse 10,- 3 '000 - - - -,,-,3 '000
Stiftung Kantonsspital Graubünden,Chur,Loëstrasse 170,- 7 50 - - - -,,-,7 50
Swiss Academy of Multidisciplinary Oncology,Bern,Effingerstrasse 40,- 2 '778 - - - -,,-,2 '778
Procrea SA,Bellinzona,Via Nizzola 1,- 2 '000 - - - -,,-,2 '000
Centro Endomed SA,Bellinzona,Via Nizzola 1,- 3 13 - - - -,,-,3 13
Schweiz. Gynäkologische Chefärztekonferenz,Fribourg,Chemin des Pensionnats 2,- 1 '500 - - - -,,-,1 '500
Hirslanden Klinik Aarau,Aarau,Schänisweg,- 2 72 - - - -,,-,2 72
Hôpital fribourgeois,Fribourg,Case postale,8 '000 2 '000 - - - -,,-,1 0'000
Fondation FABER,Lausanne,Rue de la Vigie 5,2 0'000 - - - - -,,-,2 0'000
360 GmbH,Zollikon,Alte Landstrasse 112,- 3 '000 - - - -,,-,3 '000
Forum FKBL-Bethesda,Liestal,KSBL / Mühlemattstrasse 26,- 1 '000 - - - -,,-,1 '000
OVA IVF Clinic Zürich AG,Zürich,Hardturmstrasse 11,- 1 5'000 5 98 3 '314 - -,,-,1 8'912
360° Kinderwunsch Zentrum Zürich,Zürich,Goethestrasse 24,- 4 16 - - - -,,-,4 16
Luzerner Kantonsspital,Luzern 16,Spitalstrasse,- 1 '000 - - - -,,-,1 '000
"Frauenpraxis am See, Praxisgemeinschaft",Luzern,Alpenstrasse 1,- - - - 1 '200 -,,-,1 '200
Verein REPRO,Siebnen,Bitzistrasse 22,4 0'000 - - - - -,,-,4 0'000
Bethesda Spital AG,Basel,Gellertstrasse 144,- - 2 16 4 11 - -,,-,6 28
Aggregated,,,- 4 '780 - - - -,,-,4 '780
TOTAL,,,1 83'100 1 27'255 8 15 3'726 8'300 -,,-,3 23'195
Number of recipients in aggregate disclosure,,,- 1 - - - -,,-,1
"% of the aggregated number of recipients",,,0% 4% 0% 0% 0% -,-,,3%
