"",Clausen Liliane,Zürich,Switzerland,"Rämistrasse 100 Universitätsspital Zürich","",N/A,N/A,"-56,25","845,91","","","","789,66"
"",Fraile Nathalie,Genève,Switzerland,Rue Gabrielle-Perret-Gentil 4,"",N/A,N/A,"","188,31","","","","188,31"
"",Klimkait Thomas,Basel,Switzerland,Petersplatz 10,"",N/A,N/A,"","","1.393,24","185,76","","1.579,00"
"",Maurer Anke,Zürich,Switzerland,"Rämistrasse 100 Universitätsspital Zürich","",N/A,N/A,"","1.036,41","","","","1.036,41"
"",Metzner Karin,Zürich,Switzerland,"Rämistrasse 100 Universitätsspital Zürich","",N/A,N/A,"","","1.000,00","378,97","","1.378,97"
"",Dr. Buyse Sophie,Yverdon-les-Bains,Switzerland,Rue Du Four 6,"",N/A,N/A,"316,47","469,49","","","","785,96"
"",Dr. Clerc Olivier,Neuchâtel,Switzerland,Rue de la Maladière 45,"",N/A,N/A,"880,18","2.044,79","","","","2.924,97"
"",Dr. Forster Willi,Solothurn,Switzerland,Dornacherplatz 17,"",N/A,N/A,"","","500,00","","","500,00"
"",Dr. Gholami Nadjibulah,Zürich,Switzerland,Sihlhallenstrasse 30,"",N/A,N/A,"","483,63","","","","483,63"
"",Dr. Gotthardt Frank,Basel,Switzerland,Haltingerstrasse 65,"",N/A,N/A,"-56,25","304,07","","","","247,82"
"",Dr. Isler Marc,Zürich,Switzerland,Selnaustrasse 9,"",N/A,N/A,"","","500,00","","","500,00"
"",Dr. Kenngott Silke,Wetzikon ZH,Switzerland,Spitalstrasse 66,"",N/A,N/A,"","","500,00","","","500,00"
"",Dr. Kindler Vincent,Genève,Switzerland,Rue Gabrielle-Perret-Gentil 4,"",N/A,N/A,"282,80","892,40","","","","1.175,20"
"",Dr. Lang Noémie,Genève,Switzerland,"Rue Gabrielle-Perret-Gentil 4 HUG","",N/A,N/A,"179,55","520,25","","","","699,80"
"",Dr. med. Armenian Berj,Genève,Switzerland,Rue Giovanni-gambini 8,"",N/A,N/A,"560,47","352,29","","","","912,76"
