source,target,r_name,r_address,r_location,r_ratio
3347.0,145.0,100.0,100.0,100.0,
3347.0,5150.0,100.0,100.0,100.0,
145.0,3347.0,100.0,100.0,100.0,
145.0,5150.0,100.0,100.0,100.0,
5150.0,3347.0,100.0,100.0,100.0,
5150.0,145.0,100.0,100.0,100.0,
234.0,5024.0,100.0,100.0,100.0,
5024.0,234.0,100.0,100.0,100.0,
639.0,3351.0,100.0,64.0,100.0,
3351.0,639.0,100.0,64.0,100.0,
3162.0,7127.0,100.0,100.0,100.0,
7127.0,3162.0,100.0,100.0,100.0,
4.0,4461.0,100.0,100.0,100.0,
4461.0,4.0,100.0,100.0,100.0,
8397.0,7814.0,100.0,100.0,100.0,
7814.0,8397.0,100.0,100.0,100.0,
6917.0,648.0,96.0,54.0,100.0,
7676.0,6683.0,100.0,100.0,100.0,
6683.0,7676.0,100.0,100.0,100.0,
226.0,7129.0,100.0,100.0,100.0,
226.0,5967.0,100.0,100.0,100.0,
226.0,8257.0,100.0,100.0,100.0,
7129.0,226.0,100.0,100.0,100.0,
7129.0,5967.0,100.0,100.0,100.0,
7129.0,8257.0,100.0,100.0,100.0,
5967.0,226.0,100.0,100.0,100.0,
5967.0,7129.0,100.0,100.0,100.0,
5967.0,8257.0,100.0,100.0,100.0,
8257.0,226.0,100.0,100.0,100.0,
8257.0,7129.0,100.0,100.0,100.0,
8257.0,5967.0,100.0,100.0,100.0,
3774.0,3360.0,100.0,100.0,100.0,
3360.0,3774.0,100.0,100.0,100.0,
4496.0,8537.0,100.0,100.0,100.0,
4496.0,7134.0,100.0,100.0,100.0,
8537.0,4496.0,100.0,100.0,100.0,
8537.0,7134.0,100.0,100.0,100.0,
7134.0,4496.0,100.0,100.0,100.0,
7134.0,8537.0,100.0,100.0,100.0,
648.0,6917.0,96.0,54.0,100.0,
7057.0,229.0,100.0,100.0,100.0,
229.0,7057.0,100.0,100.0,100.0,
4085.0,1015.0,100.0,100.0,100.0,
1015.0,4085.0,100.0,100.0,100.0,
2764.0,8243.0,100.0,100.0,100.0,
8243.0,2764.0,100.0,100.0,100.0,
1276.0,1034.0,100.0,100.0,100.0,
1276.0,7142.0,100.0,100.0,100.0,
1034.0,1276.0,100.0,100.0,100.0,
1034.0,7142.0,100.0,100.0,100.0,
7142.0,1276.0,100.0,100.0,100.0,
7142.0,1034.0,100.0,100.0,100.0,
2765.0,7143.0,100.0,100.0,100.0,
2765.0,5707.0,100.0,100.0,100.0,
7143.0,2765.0,100.0,100.0,100.0,
7143.0,5707.0,100.0,100.0,100.0,
5707.0,2765.0,100.0,100.0,100.0,
5707.0,7143.0,100.0,100.0,100.0,
940.0,2990.0,100.0,100.0,100.0,
2990.0,940.0,100.0,100.0,100.0,
