type,donations_grants,sponsorship,registration_fees,travel_accommodation,fees,related_expenses,total,source
hcp_amount,,,0.0,0.0,2400.0,0.0,2400.0,abbvie
hco_amount,0.0,109439.0,0.0,0.0,0.0,0.0,109439.0,abbvie
hcp_count,,,0.0,0.0,2.0,0.0,2.0,abbvie
hco_count,0.0,3.0,0.0,0.0,0.0,0.0,3.0,abbvie
rnd,,,,,,,1761943.0,abbvie
hcp_amount,,,8085.0,12128.23,36728.74,20051.88,76993.85,actelion
hcp_count,,,17.0,18.0,7.0,4.0,,actelion
hco_amount,3215.82,3500.0,,,,,6715.82,actelion
hco_count,1.0,2.0,,,,,,actelion
rnd,,,,,,,2214325.54,actelion
hcp_amount,,8112.0,1890.0,,6670.0,,16672.0,alcon
hco_amount,66764.77,32403.11,,,11463.67,,113652.75,alcon
hcp_count,,5.0,1.0,,5.0,6.0,,alcon
hco_count,2.0,8.0,,,5.0,13.0,,alcon
rnd,,,,,,,130324.75,alcon
hcp_amount,,,600.0,27298.0,47360,5195.0,80453,allergan
hco_amount,,46850.0,,,1500,,48350,allergan
hcp_count,,,2.0,25.0,21,33.0,41,allergan
hco_count,,12.0,,,1,,13,allergan
rnd,0.0,0.0,0.0,0.0,0,0.0,0,allergan
hcp_amount,,,,13788.87,48210.16,1892.2,63891.23,almirall
hco_amount,,15044.25,,,,,15044.25,almirall
hcp_count,,,,31.0,25.0,2.0,58.0,almirall
hco_count,,5.0,,,,,5.0,almirall
rnd,,,,,,,0,almirall
hcp_amount,,,16450.76,46566.18,77991.73,42371.04,183379.71,amgen
hco_amount,,2130.0,574.66,6142.05,96604.77,3958.25,109409.73,amgen
hcp_count,,,37.0,41.0,26.0,13.0,62.0,amgen
hco_count,0.0,1.0,1.0,1.0,1.0,1.0,1.0,amgen
rnd,,,,,,,1226796.97,amgen
hcp_amount,,,3263.6,13046.4,14812.0,0.0,31122.0,astellas
hco_amount,0.0,9000.0,766.0,959.3,4250.0,55.0,15030.3,astellas
hcp_count,,,3.0,5.0,7.0,0.0,14.0,astellas
hco_count,0.0,4.0,1.0,1.0,3.0,1.0,5.0,astellas
rnd,,,,,,,103663.79,astellas
hcp_amount,0.0,0.0,6987.0,40889.0,76649.0,2486.0,127011.0,astrazeneca
hco_amount,11198.0,76089.0,117.0,,59.0,1746.0,89209.0,astrazeneca
hcp_count,0.0,0.0,13.0,18.0,47.0,7.0,85.0,astrazeneca
hco_count,1.0,15.0,1.0,,1.0,2.0,20.0,astrazeneca
rnd,,,,,,,6671673.0,astrazeneca
hcp_amount,0,0,0,0,0,0,0,baxter
hcp_count,0,0,0,0,0,0,0,baxter
hco_amount,0,0,0,0,0,0,0,baxter
hco_count,0,0,0,0,0,0,0,baxter
rnd,0,0,0,0,0,0,0,baxter
hco_amount,,648759.19,90.0,345.46,14430.0,,663624.65,bayer
hco_count,,48.0,1.0,2.0,11.0,,62.0,bayer
hcp_amount,,20000.0,138027.85,437320.84,225450.62,44229.31,865028.62,bayer
hcp_count,,1.0,362.0,504.0,157.0,26.0,1050.0,bayer
rnd,,,,,,4641127.69,4641127.69,bayer
hcp_amount,,,,,2500.0,,2500.0,bgp
hco_amount,,20000.0,,,4000.0,,24000.0,bgp
hcp_count,,,,,2.0,2.0,4.0,bgp
hco_count,,3.0,,,2.0,5.0,10.0,bgp
rnd,,,,,,,0,bgp
hcp_amount,,,9822.0,23209.0,52733.0,24562.0,110326.0,biogen
hco_amount,,7204.0,,,1977.0,,9181.0,biogen
hcp_count,,,18.0,20.0,7.0,5.0,30.0,biogen
hco_count,,4.0,,,4.0,,5.0,biogen
rnd,,,,,,,1253858.0,biogen
hcp_amount,,,,,,,,biotest
hcp_count,,,,,,,,biotest
hco_amount,,,628.21,0.0,2143.8,,2772.01,biotest
hco_count,2.0,7.0,0.0,0.0,3.0,2.0,,biotest
rnd,,,,,,,1315.13,biotest
hcp_amount,,,,79006.65,138437.24,10447.12,227891.01,boehringer
hco_amount,1135965.56,654838.18,,,11761.53,673.5,1803238.77,boehringer
hcp_count,,,,53.0,120.0,11.0,157.0,boehringer
hco_count,4.0,17.0,,,3.0,1.0,22.0,boehringer
rnd,,,,,,,1847280.27,boehringer
hcp_amount,,,27262.0,48437.0,137254.0,14215.0,227168.0,bristol
hco_amount,392977.0,528454.0,9129.0,67.0,50068.0,578.0,981273.0,bristol
hcp_count,,,47.0,44.0,49.0,14.0,102.0,bristol
hco_count,2.0,44.0,7.0,1.0,11.0,4.0,56.0,bristol
rnd,,,,,,,6269742.0,bristol
hcp_amount,,,8988.21,87.12,22454.48,1451.96,32981.77,celgene
hco_amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,celgene
hcp_count,,,11.0,11.0,13.0,4.0,20.0,celgene
hco_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,celgene
rnd,,,,,,,1275895.49,celgene
hcp_amount,,,1047.15,897.3,19912.9,11361.25,33218.6,csl
hco_amount,,20519.0,,,,,20519.0,csl
hcp_count,,,4.0,3.0,2.0,2.0,6.0,csl
hco_count,,2.0,,,,,,csl
rnd,,,,,,,320506.0,csl
hcp_amount,,,4140.0,1820.0,68370.0,310.0,74640.0,daiichi
hco_amount,,,,,,,0.0,daiichi
hcp_count,,,11.0,4.0,61.0,4.0,80.0,daiichi
hco_count,0.0,0.0,,0.0,0.0,0.0,0.0,daiichi
rnd,,,,,,,821454.0,daiichi
hcp_amount,,,0.0,0.0,1375.0,0.0,1375.0,eisai
hco_amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eisai
hcp_count,,,0.0,0.0,3.0,0.0,,eisai
