"",,,,,,,HCOs,
"",,,,,,,Date!of!publication:29.06.2017,
"",,HCPs: City of Principal,,,,,,
"",,Practice HCOs: city,,,,,,
"",,where registered,,,,,Fee for service and consultancy (Art.Contribution to costs of Events (Art. 3.01.1.b & 3.01.2.a),
"",,(Art. 3),,,,,3.01.1.c & 3.01.2.c),
"",,Country of Principal,Principal Practice,,Unique country,,Sponsorship Related expenses,
Full Name (Art. 1.01),,Practice (Schedule 1),Address (Art. 3),,identifier OPTIONAL (Art. 3),,agreements with HCOs / third parties appointed agreed in the fee for service or,
"",,,,,,,"by HCOs to manage an consultancy contract, Travel & Event Registration Fees including travel & Accommodation Fees accommodation",
"",,,,,,,relevant to the contract,
"",,,,,,Donations and Grants to,,TOTAL
"",,,,,,HCOs (Art. 3.01.1.a),,OPTIONAL
"INDIVIDUAL NAMED DISCLOSURE - one line per HCP (i.e. all transfers of value during a year for an individual HCP will be summed up: itemization should be available for the individual Recipient or public authorities' consultation only, as appropriate)",,,,,,,,
Alexandra Lenoir,,Lausanne Switzerland,CHUV- Rue du Bugnon 46,,,N/A,N/A 67,67
Daniel Gianelli,,Davos-Wolfgang Switzerland,Hochgebirgsklinik Davos - Herman-Burchard-Strasse 1,,,N/A,N/A 1'500,1'500
Dr. Jérôme Plojoux,,Genève Switzerland,"HUG - Service du pneumologie, Rue Gabrielle-Perret-Gentil 4",,,N/A,N/A 446 650,1'096
Dr. med Andreas Moser,,Wolfhalden Switzerland,Hauptstrasse 1050,,,N/A,N/A 600,600
Dr. med Renate Spinas,,Zürich Switzerland,"Universitätsspital Kinderkliniken, Steinwiesstrasse 75",,,N/A,N/A 446 172,618
Dr. med. Alain Sauty,,Lausanne Switzerland,Avenue de Rumine 31,,,N/A,N/A 717,717
Dr. med. Anne Mornand,,Genève Switzerland,HUG - Rue Gabrielle-Perret-Gentil 4,,,N/A,N/A 445 584,1'029
Dr. med. Christian Bieli,,Zürich Switzerland,"Universitätsspital Kinderkliniken, Steinwiesstrasse 75",,,N/A,N/A 446,446
Dr. med. Christian Murer,,Zürich Switzerland,"Universitätsspital Zürich, Rämistrasse 100",,,N/A,N/A 446,446
Dr. med. Claudia Muntwiler,,Rehetobel Switzerland,St. Gallerstrasse 11,,,N/A,N/A 600,600
Dr. med. Dario Fontanel,,Wil Switzerland,Spital Wil - Fürstenlandstrasse 32,,,N/A,N/A 2'000,2'000
Dr. med. Denise Herzog,,Fribourg Switzerland,Chemin des Pensionnats 2,,,N/A,N/A 500,500
Dr. med. Emil Schalch,,Oberägeri Switzerland,Fischmattstrasse 2,,,N/A,N/A 2'000,2'000
Dr. med. Gaudenz Hafen,,Lausanne Switzerland,CHUV- Rue du Bugnon 46,,,N/A,N/A 359,359
Dr. med. Isabelle Rochat-Giugnard,,Lausanne Switzerland,CHUV- Rue du Bugnon 46,,,N/A,N/A 446 411,857
Dr. med. Kathleen Jahn,,Basel Switzerland,"Universitätsspital Basel,  Spitalstrasse 21",,,N/A,N/A 446,446
Dr. med. Klaus Wehr,,Zürich Switzerland,"Hirslanden Zürich, General-Wille-Strasse 15",,,N/A,N/A 5'000,5'000
Dr. med. Marc-Henri Gauchat,,Sion Switzerland,Rue Pré-Fleury 9,,,N/A,N/A 2'000,2'000
Dr. med. Maura Prella,,Lausanne Switzerland,CHUV- Rue du Bugnon 46,,,N/A,N/A 445 584,1'029
Dr. med. Michael Hitzler,,Zürich Switzerland,"Universitätsspital Kinderkliniken, Steinwiesstrasse 75",,,N/A,N/A 489 345,834
Dr. med. Susanne Maurer,,Winterthur Switzerland,Lagerhausstrasse 9,,,N/A,N/A 1'500,1'500
Dr. med. Urs Kaiser,,Engelburg Switzerland,Breitschachenstrasse 10A,,,N/A,N/A 600,600
Dr. med. Yann Kernen,,Yverdon-les-Bains Switzerland,Rue du Nord 1,,,N/A,N/A 446 584,1'029
Dr. pharm. Brigitte Waldispühl,,Bellinzona Switzerland,Ente Ospedaliero Cantonale - Via Ospedale,,,N/A,N/A 440 792,1'232
Maja Dorfschmid,,Zürich Switzerland,Stadtspital Triemli - Birmensdorferstrasse 497,,,N/A,N/A 1'500,1'500
Marianne Fehr,,Chur Switzerland,Kantonsspital Chur - Loestrasse 70,,,N/A,N/A 440 779,1'219
Marie Hofer,,Lausanne Switzerland,CHUV- Rue du Bugnon 46,,,N/A,N/A 283 478,761
Martha Kerstan,,Zuchwil Switzerland,Luzernerstrasse 21,,,N/A,N/A 650,650
Nicole Rizza,,Mendrisio Switzerland,via Alfonso Turconi 23,,,N/A,N/A 44,44
PD Dr. med. Christian Benden,,Zürich Switzerland,Rämistrasse 100,,,N/A,N/A 1'000,1'000
PD Dr. med. Daniel Frey,,Wetzikon Switzerland,Spital Wetzikon - Spitalstrasse 66,,,N/A,N/A 2'000,2'000
PD Dr. med. Emanuel Burri,,Liestal Switzerland,Kantonsspital Baselland - Rheinstrasse 26,,,N/A,N/A 2'000,2'000
Prof. Constance Barazzone Argiroffo,,Genève Switzerland,"HUG - Hôpital des enfants, Rue Willy-Donzé 6",,,N/A,N/A 446 411,857
Prof. Daniel Savioz,,Sierre Switzerland,Avenue du General-Guisan 30,,,N/A,N/A 400,400
Prof. Frank Seibold,,Bern Switzerland,Lindenhofspital - Bremgartenstrasse 119,,,N/A,N/A 2'000,2'000
Prof. Jean-Marc Fellrath,,Neuchâtel Switzerland,Rue de la Maladière 45,,,N/A,N/A 446,446
Saida Parlato,,Bellinzona Switzerland,Ospedale Bellinzona - Via Ospedale,,,N/A,N/A 44,44
Sonja Ess,,Schlieren Switzerland,Spital Limmattal - Urdorferstrasse 100,,,N/A,N/A 440 792,1'232
Stephanie Hegi,,Bern Switzerland,Lindenhofspital - Bremgartenstrasse 117,,,N/A,N/A 440 804,1'244
Valérie Durand,,Genève Switzerland,"HUG - Service du pneumologie, Rue Gabrielle-Perret-Gentil 4",,,N/A,N/A 283 650,933
"OTHER, NOT INCLUDED ABOVE - where information cannot be disclosed on an individual basis for legal reasons",,,,,,,,
Aggregate amount attributable to transfers of value to such Recipients,,- Art. 3.02,,,,N/A,N/A,
Number of Recipients in aggregate disclosure,,- Art. 3.02,,,,N/A,N/A,
"% of the number of Recipients included in the aggreate disclosure in the total number of Recipients disclosed - Art. 3.02",,,,,,N/A,N/A,
"INDIVIDUAL NAMED DISCLOSURE - one line per HCO (i.e. all transfers of value during a year for an individual HCO will be summed up: itemization should be available for the individual Recipient or public authorities' consultation only, as appropriate)",,,,,,,,
Adimed - Zentrum für Adipositas,,Winterthur Switzerland,Lagerhausstrasse 9,,,,500,500
Apotheke zum Rebstock,,Stäfa Switzerland,Grundstrasse 4,,,,6'750,6'750
"Arbeitsgruppe Lipide und Atherosklerose der Schweiz. Gesellschaft für Kardiologie (AGLA), vertreten durch Medworld AG",,Steinhausen Switzerland,Sennweidstrasse 46,,,,12'960,12'960
"Ärtzenetzwerk Igomed",,Thun Switzerland,Goldwilstrasse 36A,,,,5'400,5'400
"Ärztenetzwerk Bantiger",,Ittigen Switzerland,Talgut-Zentrum 34,,,,2'000,2'000
"Ärztenetzwerk Doccare",,Fällanden Switzerland,Maurstrasse 24a,,,,300,300
"Ärztenetzwerk DOXnet",,Hinterkappelen Switzerland,Kappelenring 6,,,,3'000,3'000
"Ärztenetzwerk Grauholz",,Ittigen Switzerland,Worblentalstrasse 99,,,,800,800
"Ärztenetzwerk Grauholz",,Urtenen-Schönbühl Switzerland,Solothurnstrasse 43,,,,2'160,2'160
"Ärztenetzwerk Oberes Emmental",,Trubschachen Switzerland,Bahnhofstrasse 15,,,,3'500,3'500
"Ärzteverein Thalwil",,Thalwil Switzerland,Zürcherstrasse 61,,,,1'500,1'500
"Ärzteverein Werdenberg/Sarganserland/ vertreten druch FentEvent",,Bronschhofen Switzerland,Eggwilstrasse 16b,,,,3'876,3'876
