name,location,country,address,plz,uci,donations_grants,sponsorship,registration_fees,travel_accommodation,fees,related_expenses,total,type,source,year,address_expand,location_expand,name_expand,group,main_address
Dean Dudler,Fribourg,CH,Chemin des Pensionnats 2-6,,,0.0,0.0,0.0,515.0,6625.0,100.0,7240.0,hcp,novartis,2015,chemin des pensionnats 2-6,fribourg,dean dudler,1,
Dudler Jean,Fribourg,CH,HFR Fribourg - Hôpital cantonal - Service de rhumatologie Chemin des Pensionnats 2-6,,,0.0,0.0,0.0,0.0,7809.98,1693.85,9503.83,hcp,msd,2015,hfr fribourg hopital cantonal  service de rhumatologie chemin des pensionnats 2-6,fribourg,dudler jean,1,
"Dudler, Jean",Fribourg,CH,Chemin des Pensionnats 2,,,,,,,2400.0,,2400.0,hcp,eli,2016,chemin des pensionnats 2,fribourg,"dudler, jean",1,
Jean Dudler,Fribourg,CH,Chemin des Pensionnats 2-6,,,,,453.0,5366.0,1500.0,0.0,7319.0,hcp,roche,2016,chemin des pensionnats 2-6,fribourg,jean dudler,1,
Jean Dudler,Fribourg,CH,Chemin des Pensionnats 2,,,,,,,2200.0,,2200.0,hcp,abbvie,2016,chemin des pensionnats 2,fribourg,jean dudler,1,
Jean Dudler,Fribourg,CH,Chemin des Pensionnats 2-6,,,,,,,4800.0,,4800.0,hcp,menarini,2016,chemin des pensionnats 2-6,fribourg,jean dudler,1,
Jean Dudler,Fribourg,CH,Chemins des Pensionnats 2,,,0.0,0.0,560.0,486.0,0.0,0.0,1046.0,hcp,actelion,2015,chemins des pensionnats 2,fribourg,jean dudler,1,
Jean Dudler,Fribourg,CH,Chemin des Pensionnats 2-6,,,,0.0,0.0,6169.0,12438.0,691.0,19298.0,hcp,pfizer,2017,chemin des pensionnats 2-6,fribourg,jean dudler,1,
Jean Dudler,Fribourg,CH,Chemin des Pensionnats 2,,,,,,354.28,2000.0,190.4,2544.68,hcp,celgene,2016,chemin des pensionnats 2,fribourg,jean dudler,1,
Jean Dudler,Fribourg,CH,Chemin des Pensionnats 2,,,,,,,5400.0,,5400.0,hcp,eli,2017,chemin des pensionnats 2,fribourg,jean dudler,1,
Jean Dudler,Fribourg,CH,Chemins des Pensionnats 2,,,0.0,0.0,0.0,0.0,3500.0,0.0,3500.0,hcp,celgene,2015,chemins des pensionnats 2,fribourg,jean dudler,1,
Jean Dudler,Fribourg,CH,Chemin des Pensionnats 2,,,,,,,1500.0,,1500.0,hcp,bristol,2017,chemin des pensionnats 2,fribourg,jean dudler,1,
Jean Dudler,Fribourg,CH,"HFR Fribourg - Hôpital cantonal Rheumatologische Klinik, Chemin des Pensionnats 2-6",,,0.0,0.0,0.0,0.0,3250.0,0.0,3250.0,hcp,novartis,2017,hfr fribourg hopital cantonal rheumatologische klinik chemin des pensionnats 2-6,fribourg,jean dudler,1,
Jean Dudler,Fribourg,CH,Chemin Des Pensionnats 2,,,,,,,1350.0,,1350.0,hcp,amgen,2016,chemin des pensionnats 2,fribourg,jean dudler,1,
