type,donations_grants,sponsorship,registration_fees,travel_accommodation,fees,related_expenses,total,source,year
hcp_amount,0.0,0.0,1064.0,3850.0,11600.0,1255.0,17769.0,abbvie,2016
hco_amount,0.0,1000.0,0.0,0.0,2800.0,0.0,3800.0,abbvie,2016
hcp_amount,0.0,0.0,13628.0,25602.0,20568.0,4856.0,64654.0,actelion,2016
hco_amount,557136.0,43152.0,2334.0,3575.0,14588.0,0.0,620785.0,actelion,2016
hcp_amount,0.0,0.0,0.0,14737.97,19889.2,0.0,34627.17,alcon,2016
hco_amount,292213.24,213196.39,0.0,0.0,6120.0,0.0,511529.63,alcon,2016
hcp_amount,0.0,0.0,5167.0,42372.0,101400.0,10279.0,159218.0,allergan,2016
hco_amount,0.0,120810.0,0.0,0.0,0.0,0.0,120810.0,allergan,2016
hcp_amount,0.0,0.0,25439.46,127269.26,169056.65,49809.08,371574.45,amgen,2016
hcp_amount,0.0,0.0,7762.2,18755.2,17630.0,983.0,45130.4,astellas,2016
hco_amount,1000.0,40160.5,493.5,3419.5,1000.0,0.0,46073.5,astellas,2016
hcp_amount,0.0,0.0,7988.0,15099.0,101828.0,13309.0,138224.0,astrazeneca,2016
hco_amount,219586.0,1343457.0,285.0,0.0,6428.0,0.0,1569756.0,astrazeneca,2016
hcp_amount,0.0,0.0,0.0,16837.17,14920.21,938.88,32696.26,baxalta,2016
hco_amount,0.0,9818.56,0.0,0.0,12365.85,0.0,22184.41,baxalta,2016
hcp_amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baxter,2016
hco_amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baxter,2016
hco_amount,1180.0,1899063.79,7737.13,11286.86,56386.76,1535.65,1977190.19,bayer,2016
hcp_amount,0.0,2000.0,126850.13,421405.97,300611.33,27193.67,878061.1,bayer,2016
hcp_amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgp,2016
hco_amount,0.0,8000.0,0.0,0.0,0.0,0.0,8000.0,bgp,2016
hcp_amount,0.0,0.0,3795.54,8243.58,33538.05,7735.3,53312.47,biogen,2016
hco_amount,0.0,6500.0,0.0,933.83,162741.19,0.0,170175.02,biogen,2016
hcp_amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,biotest,2016
hco_amount,0.0,83862.0,0.0,1006.0,1417.0,0.0,86285.0,biotest,2016
hcp_amount,0.0,0.0,16338.33,63840.2,171176.99,10178.76,261534.28,boehringer,2016
hco_amount,224204.29,302263.62,0.0,4128.12,4200.0,0.0,534796.03,boehringer,2016
hcp_amount,0.0,0.0,11487.0,60558.0,139552.0,9936.0,221533.0,bristol,2016
hco_amount,358923.0,396281.0,0.0,0.0,45720.0,469.0,801393.0,bristol,2016
hcp_amount,0.0,0.0,8685.51,11214.11,17203.04,318.39,37421.05,celgene,2016
hco_amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,celgene,2016
hcp_amount,0.0,0.0,472.33,0.0,3131.9,1436.04,5040.27,csl,2016
hco_amount,0.0,20000.0,0.0,0.0,0.0,0.0,20000.0,csl,2016
hcp_amount,0.0,0.0,1297.0,3203.0,47650.0,460.0,52610.0,daiichi,2016
hco_amount,0.0,27300.0,0.0,0.0,0.0,1200.0,28500.0,daiichi,2016
hcp_amount,0.0,0.0,0.0,0.0,2387.66,0.0,2387.66,eisai,2016
hco_amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eisai,2016
hcp_amount,0.0,0.0,2731.0,6865.0,99960.0,20204.0,129760.0,eli,2016
hco_amount,0.0,53454.0,0.0,153.0,14340.0,0.0,67947.0,eli,2016
hcp_amount,0.0,3000.0,0.0,893.0,2140.0,0.0,6033.0,ferring,2016
hco_amount,0.0,4780.0,0.0,0.0,0.0,0.0,4780.0,ferring,2016
hcp_amount,0.0,0.0,3335.67,8617.11,6638.24,1201.0,19792.02,future,2016
hco_amount,0.0,1820.0,0.0,0.0,13500.0,0.0,15320.0,future,2016
hcp_amount,0.0,0.0,0.0,7227.7,20120.8,0.0,27348.5,galderma,2016
hco_amount,0.0,8400.0,0.0,0.0,35000.0,0.0,43400.0,galderma,2016
hcp_amount,0.0,0.0,1107.52,7331.4,1750.0,0.0,10188.92,gilead,2016
hcp_amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,glaxosmithkline,2016
hco_amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,glaxosmithkline,2016
hcp_amount,0.0,0.0,2516.65,4363.7,1500.0,500.0,8880.35,gruenenthal,2016
hco_amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gruenenthal,2016
hcp_amount,0.0,0.0,0.0,0.0,0.0,23.0,23.0,hra,2016
hco_amount,0.0,7500.0,0.0,0.0,0.0,0.0,7500.0,hra,2016
hcp_amount,0.0,0.0,16265.0,36248.0,103691.0,9437.0,165641.0,janssen,2016
hco_amount,499807.0,264329.0,0.0,0.0,14496.0,0.0,778632.0,janssen,2016
hcp_amount,0.0,0.0,0.0,0.0,2250.0,0.0,2250.0,leo,2016
hco_amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,leo,2016
hcp_amount,0.0,0.0,161.35,680.85,500.0,0.0,1342.2,lundbeck,2016
hco_amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lundbeck,2016
hcp_amount,0.0,3000.0,19044.0,7442.0,2716.0,582.0,32784.0,menarini,2016
hco_amount,0.0,281710.0,0.0,0.0,0.0,0.0,281710.0,menarini,2016
hcp_amount,0.0,0.0,833.0,0.0,0.0,0.0,833.0,mepha,2016
hco_amount,0.0,9586.0,0.0,0.0,0.0,0.0,9586.0,mepha,2016
hcp_amount,0.0,0.0,18629.7,67112.76,75327.52,19145.61,180215.58999999997,merck,2016
hcp_amount,0.0,22950.0,16263.55,89283.38,255855.2,13550.57,397902.7,msd,2016
hco_amount,297568.17,673079.11,10461.83,44310.32,124001.0,0.0,1149420.43,msd,2016
hcp_amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mundipharma,2016
hco_amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mundipharma,2016
hcp_amount,0.0,0.0,1550.0,1318.0,62051.55,999.43,65918.98,novartis,2016
hco_amount,0.0,1000.0,0.0,7933.4,1700.0,0.0,10633.4,novartis,2016
hcp_amount,0.0,4500.0,3407.0,14315.0,56652.0,14943.0,93817.0,novo,2016
hco_amount,300000.0,12759.0,346.0,4118.0,1000.0,0.0,318223.0,novo,2016
hcp_amount,0.0,0.0,5055.53,0.0,0.0,0.0,5055.53,orion,2016
hco_amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,orion,2016
hcp_amount,0.0,0.0,340.7,1762.52,7461.0,734.14,10298.359999999999,otsuka,2016
hcp_amount,0.0,0.0,4703.0,19737.0,65408.0,5893.0,95741.0,pfizer,2016
hco_amount,2176709.0,1137405.0,0.0,0.0,187466.0,166.0,3501746.0,pfizer,2016
hcp_amount,0.0,0.0,2362.8,5869.43,6375.0,461.4,15068.63,pierre,2016
hco_amount,2667.0,45984.5,950.0,53.0,0.0,0.0,49654.5,pierre,2016
hcp_amount,0.0,0.0,8.0,15.0,51.0,9.0,83.0,roche,2016
hco_amount,0.0,6.0,0.0,0.0,0.0,0.0,6.0,roche,2016
hcp_amount,0.0,1000.0,9072.95,11648.57,21914.98,1357.34,44993.84,sandoz,2016
hco_amount,295692.96,44371.85,64029.22,2243.53,4000.0,0.0,410337.56000000006,sandoz,2016
hcp_amount,0.0,0.0,9197.35,40864.58,98745.38,27151.69,175959.0,sanofi,2016
hco_amount,59400.0,274348.05,0.0,13094.5,75704.4,2853.5,425400.44999999995,sanofi,2016
hcp_amount,0.0,0.0,6396.0,16929.0,211719.0,2147.0,237191.0,servier,2016
hco_amount,818.0,731830.0,0.0,123394.0,399024.0,11300.0,1266366.0,servier,2016
hcp_amount,0.0,0.0,0.0,1699.99,5180.0,525.54,7405.53,shire,2016
hco_amount,77750.0,37849.36,0.0,4489.6,1000.0,199.24,121288.20000000001,shire,2016
hcp_amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stallergenes,2016
hco_amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stallergenes,2016
hcp_amount,0.0,0.0,257.95,900.12,7024.53,0.0,8182.599999999999,takeda,2016
hco_amount,0.0,3250.0,0.0,0.0,0.0,0.0,3250.0,takeda,2016
hco_amount,177445.0,178426.0,0.0,0.0,27350.0,1829.0,385050.0,teva,2016
hcp_amount,0.0,0.0,46395.0,102508.0,84031.0,2788.0,235722.0,teva,2016
hco_amount,20000.0,36557.88,0.0,0.0,4320.0,0.0,60877.88,ucb,2016
hcp_amount,0.0,0.0,1658.71,2657.88,4841.93,1015.3,10173.82,ucb,2016
hcp_amount,0.0,0.0,2334.08,7075.76,65655.0,0.0,75064.84,vifor,2016
hco_amount,0.0,172032.0,0.0,0.0,1500.0,0.0,173532.0,vifor,2016
hcp_amount,0.0,0.0,5255.0,0.0,0.0,0.0,5255.0,zambon,2016
hco_amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zambon,2016
rnd,,,,,,,2657394.0,abbvie,2016
rnd,,,,,,,2219144.0,actelion,2016
rnd,,,,,,,13250.0,alcon,2016
rnd,,,,,,,0.0,allergan,2016
rnd,,,,,,,15000.0,almirall,2016
rnd,,,,,,,1582211.6,amgen,2016
rnd,,,,,,,679104.6,astellas,2016
rnd,,,,,,,3389110.0,astrazeneca,2016
rnd,,,,,,,265619.65,baxalta,2016
rnd,,,,,,,0.0,baxter,2016
rnd,,,,,,,2529317.0,bayer,2016
rnd,,,,,,,547194.75,biogen,2016
rnd,,,,,,,1073.0,biotest,2016
rnd,,,,,,,819904.1,boehringer,2016
rnd,,,,,,,3766113.0,bristol,2016
rnd,,,,,,,169423.7,celgene,2016
rnd,,,,,,,368592.24,csl,2016
rnd,,,,,,,64416.0,daiichi,2016
rnd,,,,,,,276513.8,eisai,2016
rnd,,,,,,,450021.0,eli,2016
rnd,,,,,,,0.0,ferring,2016
rnd,,,,,,,0.0,galderma,2016
rnd,,,,,,,323107.23,gilead,2016
rnd,,,,,,,477699.37,glaxosmithkline,2016
rnd,,,,,,,7415.0,gruenenthal,2016
rnd,,,,,,,0.0,hra,2016
rnd,,,,,,,833283.0,janssen,2016
rnd,,,,,,,0.0,leo,2016
rnd,,,,,,,85199.5,lundbeck,2016
rnd,,,,,,,0.0,menarini,2016
rnd,,,,,,,0.0,mepha,2016
rnd,,,,,,,309361.0,merck,2016
rnd,,,,,,,2242292.81,msd,2016
rnd,,,,,,,149847.0,mundipharma,2016
rnd,,,,,,,0.0,neurim,2016
rnd,,,,,,,12053857.16,novartis,2016
rnd,,,,,,,273102.0,novo,2016
rnd,,,,,,,0.0,orion,2016
rnd,,,,,,,35000.0,otsuka,2016
rnd,,,,,,,3214108.0,pfizer,2016
rnd,,,,,,,1500.0,pierre,2016
rnd,,,,,,,7666519.0,roche,2016
rnd,,,,,,,5847.11,sandoz,2016
rnd,,,,,,,258913.8,sanofi,2016
rnd,,,,,,,49314.0,servier,2016
rnd,,,,,,,24424.41,shire,2016
rnd,,,,,,,4400.0,stallergenes,2016
rnd,,,,,,,200834.99,takeda,2016
rnd,,,,,,,4219.0,teva,2016
rnd,,,,,,,295666.1,ucb,2016
rnd,,,,,,,337584.06,vifor,2016
rnd,,,,,,,0.0,zambon,2016
